Country,Count
Andorra,2
Antigua and Barbuda,1
Argentina,2
Australia,?
Austria,2
Bahamas,1
Bangladesh,4
Barbados,2
Belize,1
Bolivia,1
Brazil,1
Bulgaria,1
Burundi,2
Canada,?
Central African Republic,2
Chile,2
China,2
Costa Rica,1
 Georgia (Country of),2
Croatia,2
Denmark,?
Dominica,1
Ecuador,1
Estonia,1
Finland,3
France,1
Gabon,1
Germany / East Germany,2
Greece,1
Grenada,1
Guinea-Bissau,2
Guyana,2
Haiti,4
Iceland,2
India,3
Indonesia,1
Ireland,2
Israel,2
Jamaica,2
Kosovo,1
Kyrgyzstan,1
Latvia,2
Liberia,2
Lithuania,4
Macedonia,2
Madagascar,1
Malawi,1
Mali,1
Malta,2
Marshall Islands,1
Mauritius,3
Moldova,2
Mongolia,2
Mozambique,1
Myanmar,1
Namibia,1
Nepal,1
New Zealand,9
Nicaragua,1
Norway,5
Pakistan,2
Panama,1
Peru,4
Philippines,2
Poland,3
Portugal,1
Rwanda,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
San Marino,19
Sao Tome and Príncipe,2
Senegal,2
Serbia,2
Singapore,1
Slovakia,1
Slovenia,1
South Africa,1
South Korea,3
Sri Lanka / Ceylon,5
Switzerland,7
Taiwan,1
Thailand,1
The Bahamas,2
Trinidad and Tobago,1
Turkey,1
Ukraine,2
United Kingdom,2
